Spectrum  ,      Observed Wavelength Air (nm)     ,        Ritz  Wavelength Air (nm)   
Fe I      ,         292.38524  ,         292.385240 
Fe I      ,         292.53575  ,         292.535761 
Fe II     ,         292.658524 ,         292.658526 
          ,                    ,                    
Fe II     ,         292.7850   ,         292.784993 
Fe II     ,         292.7956   ,         292.795824 
Fe II     ,         292.85019  ,         292.850170 
Fe I      ,         292.90069  ,         292.900692 
Fe I      ,         292.9117   ,         292.91177  
          ,                    ,                    
Fe II     ,         293.0278   ,         293.027331 
Fe II     ,         293.41464  ,         293.414701 
Fe II     ,         293.58830  ,         293.588320 
Fe I      ,         293.69032  ,         293.690315 
Fe II     ,         293.88497  ,         293.884951 
          ,                    ,                    
Fe II     ,         294.01128  ,         294.011310 
Fe II     ,         294.0905   ,         294.090670 
Fe II     ,         294.0976   ,         294.098257 
Fe I      ,         294.13425  ,         294.134264 
Fe II     ,         294.1478   ,         294.148960 
          ,                    ,                    
Fe II     ,         294.29372  ,         294.293817 
Fe II     ,         294.439523 ,         294.439523 
Fe II     ,         294.5815   ,         294.58176  
Fe I      ,         294.73618  ,         294.736170 
Fe II     ,         294.765492 ,         294.765478 
          ,                    ,                    
Fe I      ,         294.78758  ,         294.787579 
Fe I      ,         294.84334  ,         294.84334  
Fe II     ,         294.918121 ,         294.918118 
Fe II     ,         295.0977   ,         295.097616 
Fe I      ,         295.34855  ,         295.348572 
          ,                    ,                    
Fe II     ,         295.377401 ,         295.377413 
Fe I      ,         295.39398  ,         295.393980 
Fe II     ,         295.4056   ,         295.405287 
Fe II     ,         295.4197   ,         295.419409 
Fe I      ,         295.46521  ,         295.465223 
          ,                    ,                    
Fe I      ,         295.68560  ,         295.685579 
Fe I      ,         295.73643  ,         295.736437 
Fe I      ,         295.74844  ,         295.748528 
Fe II     ,         295.8117   ,         295.81233  
Fe II     ,         295.8301   ,         295.830089 
          ,                    ,                    
Fe II     ,         295.8523   ,         295.852074 
Fe II     ,         295.9118   ,         295.911922 
Fe II     ,         295.95994  ,         295.959951 
Fe II     ,         295.98347  ,         295.983477 
Fe I      ,         295.99920  ,         295.99919  
          ,                    ,                    
Fe I      ,         296.06592  ,         296.06598  
Fe II     ,         296.1477   ,         296.148376 
Fe II     ,         296.2461   ,         296.246828 
Fe II     ,         296.2921   ,         296.291810 
Fe II     ,         296.41327  ,         296.413404 
          ,                    ,                    
Fe II     ,         296.46238  ,         296.462333 
Fe II     ,         296.503166 ,         296.503178 
Fe I      ,         296.52542  ,         296.525433 
Fe II     ,         296.5395   ,         296.540601 
Fe II     ,         296.59664  ,         296.596440 
          ,                    ,                    
Fe I      ,         296.68980  ,         296.689802 
Fe II     ,         296.76827  ,         296.768235 
Fe II     ,         296.7727   ,         296.773239 
Fe I      ,         296.84776  ,         296.847802 
Fe II     ,         296.8873   ,         296.886945 
          ,                    ,                    
Fe I      ,         296.93596  ,         296.935959 
Fe I      ,         296.94744  ,         296.947434 
Fe II     ,         296.993583 ,         296.993598 
Fe I      ,         297.00992  ,         297.009942 
Fe I      ,         297.01179  ,         297.011822 
          ,                    ,                    
Fe II     ,         297.05145  ,         297.051469 
Fe II     ,         297.06935  ,         297.069370 
Fe II     ,         297.2009   ,         297.199952 
Fe I      ,         297.31322  ,         297.313230 
Fe I      ,         297.32352  ,         297.323506 
          ,                    ,                    
Fe I      ,         297.61264  ,         297.612673 
Fe II     ,         297.9073   ,         297.90804  
Fe II     ,         297.93532  ,         297.935350 
Fe I      ,         298.05322  ,         298.053220 
Fe II     ,         298.0647   ,         298.06388  
          ,                    ,                    
Fe II     ,         298.0959   ,         298.096266 
Fe I      ,         298.14448  ,         298.144486 
Fe I      ,         298.18507  ,         298.184977 
Fe II     ,         298.20610  ,         298.206129 
Fe I      ,         298.2228   ,         298.222916 
          ,                    ,                    
Fe II     ,         298.2255   ,         298.225601 
Fe I      ,         298.35695  ,         298.356951 
Fe II     ,         298.4178   ,         298.418371 
Fe II     ,         298.4213   ,         298.421034 
Fe II     ,         298.482516 ,         298.482518 
          ,                    ,                    
Fe II     ,         298.49619  ,         298.496179 
Fe II     ,         298.554532 ,         298.554538 
Fe II     ,         298.5637   ,         298.563967 
Fe II     ,         298.63435  ,         298.634420 
Fe I      ,         298.72904  ,         298.729033 
          ,                    ,                    
Fe II     ,         298.7512   ,         298.750745 
Fe II     ,         298.75347  ,         298.753549 
Fe II     ,         298.77885  ,         298.778925 
Fe I      ,         299.03913  ,         299.039127 
Fe II     ,         299.1236   ,         299.122864 
          ,                    ,                    
Fe II     ,         299.1828   ,         299.181822 
Fe I      ,         299.44266  ,         299.442662 
Fe I      ,         299.45019  ,         299.450197 
Fe II     ,         299.5973   ,         299.596884 
Fe I      ,         299.63855  ,         299.638525 
          ,                    ,                    
Fe II     ,         299.7296   ,         299.729991 
Fe II     ,         299.7706   ,         299.770420 
Fe II     ,         299.7980   ,         299.797237 
Fe I      ,         299.95116  ,         299.951140 
Fe II     ,         300.00623  ,         300.006156 
          ,                    ,                    
Fe II     ,         300.0247   ,         300.02444  
Fe I      ,         300.04509  ,         300.045121 
Fe I      ,         300.09476  ,         300.094760 
Fe II     ,         300.1123   ,         300.113283 
Fe II     ,         300.1310   ,         300.131565 
          ,                    ,                    
Fe II     ,         300.14003  ,         300.139927 
Fe II     ,         300.1601   ,         300.159564 
Fe II     ,         300.1972   ,         300.197089 
Fe II     ,         300.2317   ,         300.231926 
Fe II     ,         300.264344 ,         300.264210 
          ,                    ,                    
Fe II     ,         300.264344 ,         300.264448 
Fe I      ,         300.30305  ,         300.303050 
Fe II     ,         300.38861  ,         300.388623 
Fe I      ,         300.41134  ,         300.41133  
Fe I      ,         300.53025  ,         300.53026  
          ,                    ,                    
Fe I      ,         300.71450  ,         300.714520 
Fe I      ,         300.72822  ,         300.728234 
Fe I      ,         300.81380  ,         300.813796 
Fe I      ,         300.90929  ,         300.909315 
Fe I      ,         300.95691  ,         300.956911 
          ,                    ,                    
Fe II     ,         301.0204   ,         301.021600 
Fe I      ,         301.14808  ,         301.14811  
Fe II     ,         301.5388   ,         301.537968 
Fe II     ,         301.57941  ,         301.579486 
